region,name,loc,genre,star,difficulty,type,activeness,avail_people_lists[1],avail_people_lists[2],avail_people_lists[3],avail_people_lists[4],,,type,
홍대,최후의 낙원,브레이크아웃 이스케이프 홍대점,범죄,3,3,1,2,2 people,3 people,,,,,,
홍대,그 남자 그 여자,엑스케이프 홍대점,감성,3.1,3,1,1,2 people,3 people,,,,,,
홍대,BOSS : COMPANY_LU,비밀의화원 다운타운 홍대점,범죄,4.3,4,2,2,2 people,3 people,,,,,,
홍대,네모네모 마믈메는 무슨밀미 밌멌믈까?,이스케이퍼스 2호점,아케이드,3.6,3,3,2,2 people,3 people,,,,,,
홍대,1945 SPY GAME,미스터리룸 이스케이프 홍대2호점,범죄,3,3,2,1,2 people,3 people,,,,,,
홍대,웨스트민스터 지하묘지,더큐 이스케이프 홍대입구역점,추리,2.4,3,1,1,2 people,3 people,,,,,,
홍대,미드 나이트,이스케이프 하우스,잠입,2.4,4,1,3,3 people,,,,,,,
홍대,게슈타포,큐브 이스케이프 홍대점,모험,2.1,3,1,2,3 people,,,,,,,
홍대,어비스,비밀의 숲,공포,3.8,4,2,2,2 people,3 people,,,,,,
홍대,홀리데이,키이스케이프 홍대점,판타지,4.1,4,2,3,2 people,3 people,,,,,,
홍대,로미오 포인트,큐브 이스케이프 홍대점,추리,1.7,4,2,1,2 people,3 people,,,,,,
홍대,오므라이스,덤앤더머 홍대점,감성,3.3,2,2,3,2 people,3 people,,,,,,
홍대,고요의 기지,엑스케이프 홍대점,SF,2.9,1,2,1,2 people,3 people,,,,,,
홍대,셜록 : 교수의 비밀,리얼이스케이프 첼린지,추리,2.7,4,1,1,2 people,3 people,,,,,,
홍대,독립군 : 피의 투쟁,시크릿코드 홍대점,역사,2.2,1,1,2,2 people,,,,,,,
홍대,온칼로 : 10만년의 밤,마스터키 홍대점,SF,3.1,2,1,1,2 people,3 people,,,,,,
홍대,비밀의 가족,비밀의화원 미드나잇점,공포,3.8,4,2,1,2 people,3 people,,,,,,
홍대,Deliver,큐브 이스케이프 홍대점,스릴러,2,3,2,1,2 people,3 people,,,,,,
홍대,퀘스천마크,퀘스천마크 홍대점,?,4.4,3,2,2,2 people,3 people,4 people,,,,,
홍대,선물,마스터키 상수점,드라마,3.4,4,1,1,2 people,3 people,,,,,,
홍대,RS ROOM(normal),이스케이퍼스 1호점,추리,3.5,3,1,1,2 people,3 people,4 people,,,,,
홍대,Tempo Rubato,디코더,?,4.7,4,3,1,2 people,3 people,,,,,,
홍대,수상한 병원,ESC 홍대점,스릴러,2.3,5,1,1,2 people,3 people,,,,,,
홍대,RS ROOM SPEED RUN,이스케이퍼스 1호점,?,4.4,5,1,1,2 people,3 people,,,,,,
홍대,헨젤과 그레텔,큐브 이스케이프 홍대점,판타지,1.9,2,2,1,2 people,3 people,,,,,,
홍대,꼬레아 우라,코드케이 홍대점,판타지,4.6,4,3,3,3 people,4 people,,,,,,
홍대,마리오네뜨,덤앤더머 홍대점,공포,3.2,4,2,2,4 people,5 people or more,,,,,,
홍대,살인마 빅토르의 비밀,미스터리룸 이스케이프 홍대점,스릴러,2.7,3,3,1,2 people,3 people,,,,,,
홍대,로스트 : 그 남자의 경고,리얼이스케이프 첼린지,잠입,2.4,2,1,1,2 people,3 people,,,,,,
홍대,날씨의 신,비트포비아 홍대던전,판타지,3.6,3,2,3,2 people,3 people,4 people,,,,,
홍대,더 다이스 룸,엑스케이프 홍대점,SF,2.9,2,1,2,2 people,3 people,,,,,,
홍대,오드리,히든스위치 홍대점,모험,4,3,3,1,2 people,3 people,,,,,,
홍대,거상,싸인 이스케이프 홍대점,역사,4.3,4,2,2,2 people,3 people,,,,,,
