노량진 고시생의 사랑-여자편,셜록홈즈 노량진점,http://sherlock-holmes.co.kr/attach/theme/15375002701.jpg,드라마감성,-,"안녕? 난 노량진에서 고시 공부중인 김민지라고 해! 계속되는 불합격 소식과 생활고로 인해 힘들고 우울한 날이 계속 되지만 유일한 가족인 소중한 엄마와, 7년동안 사귄 멋진 남자친구가 있어 버틸만 해! 오늘은 내 29번째 생일이야. 평소같은 나날을 보내다 내 반지하 고시원에 들어간 순간 ‘어머나!’ 깜짝 놀랬어. 내 이야기를 한번 들어 보겠니..?"
어린왕자,셜록홈즈 노량진점,http://sherlock-holmes.co.kr/attach/theme/15330166641.jpg,감성SF,-,"장미와 다툰 뒤, 생각할 시간을 갖기 위해 여행을 떠나는 어린왕자. 항해 도중 연료가 부족해 지구의 어느 사막에 불시착하게 된다. 연료를 구하기 위해 이리저리 사막을 탐험하던 중 예기치 않는 상황을 조우하게 되는데..."
프로젝트:노아,셜록홈즈 노량진점,http://sherlock-holmes.co.kr/attach/theme/15330165001.jpg,SF드라마,-,전 인류가 멸망의 위기에 처했다. 급격한 인구증가로 인한 자연재해. 전쟁. 이 문제를 해결하기 위해 어떠한 단체에서 프로젝트를 진행했지만 알 수 없는 이유로 중단되게 되었다. 당신은 비밀리에 이 프로젝트를 완료하라는 임무를 받고 해저기지에 잠입하게 되는데.. 과연 당신은 성공적으로 완료할 수 있을것인가?
중고로운 평화나라,셜록홈즈 노량진점,http://sherlock-holmes.co.kr/attach/theme/15921906361.jpg,코미디스릴러,-,다가오는 여자친구와의 기념일. 여자친구에게 명품백을 선물해주고 싶지만 너무 높은 가격에 좌절하게 되는 한남자.. 결국 그가 찾게 된 것은 중고거래 사이트에서 발견한 감쪽같은 명품가방! 이 이야기의 끝은 어떻게 될 것인지!
빛과 그림자:화이트의죽음2,셜록홈즈 노량진점,http://sherlock-holmes.co.kr/attach/theme/15302596301.jpg,-,-,"옐로우는 감옥에 가고, 사건은 영원히 종결된 것만 같았다. 이미 30대 때 세계적인 작가가 된 화이트, 그의 옆에는 그림자와 같은 존재인 블랙이 있었다. 그는 일평생을 천재작가의 그늘에서 사는데.. 전세계 독자들을 슬프게 만든 화이트의 죽음, 그 뒤로 언젠가부터 블랙의 소식도 사라지게 되고. 블랙은 금세 사람들의 기억에서 지워져 버렸지만 당신은 왠지 이 사건이 화이트의 죽음과 무관하지 않을 거란 생각이 들어, 화이트의 방을 다시 조사하기 시작한다."
지프리트의 심장,셜록홈즈 노원점,http://sherlock-holmes.co.kr/attach/theme/15847493791.jpg,판타지,-,"[플리퍼 시티 에피소드 01] 잊혀진 이야기 속에 전해지는 순수 에너지의 결정체 ""지프리트의 심장""을 찾기 위해 플리퍼 시티를 헤매던 일행. 마을 외곽의 한 골동품 점에서 가고자 하는 곳의 좌표를 알려준다는 검은 주사위를 얻는다. 검은 주사위가 만들어 준 좌표를 통해 도착한 곳은 알 수 없는 낡은 기관실. 그곳의 수수께끼를 풀고 지프리트의 심장을 찾아낼 수 있을까"
황금 감옥 : 와캄,셜록홈즈 노원점,http://sherlock-holmes.co.kr/attach/theme/15879559821.jpg,-,-,지금까지 봐왔던 감옥들과는 사뭇 다른 분위기의 낯선 감옥. 그 안에서 펼쳐진 끝을 알 수 없는 새로운 이야기. 이전까지 경험할 수 없었던 색다른 테마가 당신을 기다립니다. 
스토커,셜록홈즈 노원점,http://sherlock-holmes.co.kr/attach/theme/15311889941.jpg,-,-,"세간을 떠들석하게 만든 싸이코패스 납치범. 그는 여자친구였던 사람과 닮은 사람만을 골라 납치하고 잔인하게 살해 한다고 한다. 이런일이 남의 일인 줄로만 알았는데….당신의 여자친구가 실종된다. 셜록홈즈 탐정소의 도움을 받아 납치범의 집을 찾게 되고, 그가 1시간 동안 자리를 비운다는 사실을 알게 된다. 납치범이 집을 비운 시간 안에 여자친구를 구해 탈출하자!! "
파라오의 심판,셜록홈즈 노원점,http://sherlock-holmes.co.kr/attach/theme/15613578411.jpg,-,-,람세스 3세의 보물을 훔치고 저주를 피해 무사히 탈출한 나 더 많은 파라오 보물의 비밀을 알기 위해 이집트 국립 도서관으로 향하게 되는데... 예기치 않는 모험이 시작 되어 버렸다! 
미녀와야수2,셜록홈즈 노원점,http://sherlock-holmes.co.kr/attach/theme/15508014821.jpg,-,-,"야수와 미녀의 해피엔딩으로 끝난줄 만 알았던 동화속 야수의 성에서 살인사건이 발생했다. 피해자는 바로 성주인 ‘야수’. 사건 현장을 본 벨의 사촌동생 루시는 현장을 살펴보고 주변인들의 증언을 통해 야수의 부인 벨 , 성의 요리사 스타곤, 성의 하인 미세스팟, 그리고 미녀의 아버지 모리스등 네 명을 용의자로 지목한다. 과연 성주인 ‘야수’를 죽인 범인은?"
