테마이름,장르,추천인원수,소속지점,이미지경로
마법소녀,"장르
Magical Adventure","추천 인원수
2~5",넥스트에디션 넥스트에디션 강남2호점,https://www.nextedition.co.kr/shops/Nextedition%20Gangnam2
"어제, 그리고 오늘","장르
드라마","추천 인원수
2-4",넥스트에디션 넥스트에디션 건대2호점,https://www.nextedition.co.kr/shops/NextEdition%20Gundae2
중대장은 오늘 너희에게 무척 실망했다.,"장르
추리","추천 인원수
2~5",넥스트에디션 넥스트에디션 강남2호점,https://www.nextedition.co.kr/shops/Nextedition%20Gangnam2
커넥트 (Connect),"장르
공상과학","추천 인원수
2~5",넥스트에디션 넥스트에디션 강남2호점,https://www.nextedition.co.kr/shops/Nextedition%20Gangnam2
심판,"장르
드라마","추천 인원수
2~5",넥스트에디션 넥스트에디션 강남2호점,https://www.nextedition.co.kr/shops/Nextedition%20Gangnam2
퀴즈 인 더 노블 (Quiz in The Noble),"장르
혼합","추천 인원수
2~5",넥스트에디션 넥스트에디션 강남2호점,https://www.nextedition.co.kr/shops/Nextedition%20Gangnam2
Make-up,"장르
?","추천 인원수
2~5",넥스트에디션 넥스트에디션 건대2호점,https://www.nextedition.co.kr/shops/NextEdition%20Gundae2
동화나라 수비대,"장르
어드벤쳐","추천 인원수
2~5",넥스트에디션 넥스트에디션 건대2호점,https://www.nextedition.co.kr/shops/NextEdition%20Gundae2
빛을 구해줘,"장르
판타지","추천 인원수
2~5",넥스트에디션 넥스트에디션 건대2호점,https://www.nextedition.co.kr/shops/NextEdition%20Gundae2
MEMORY - Episode 1,"장르
스릴러(공포)","추천 인원수
2~4",넥스트에디션 넥스트에디션 강남점,https://www.nextedition.co.kr/shops/NextEdition%20Gangnam
완전한사랑(리뉴얼),"장르
로맨스","추천 인원수
2~4",넥스트에디션 넥스트에디션 강남점,https://www.nextedition.co.kr/shops/NextEdition%20Gangnam
방탈출 아카데미,"장르
미션","추천 인원수
2~4",넥스트에디션 넥스트에디션 건대2호점,https://www.nextedition.co.kr/shops/NextEdition%20Gundae2
커튼콜,"장르
판타지","추천 인원수
2~5",넥스트에디션 넥스트에디션 건대2호점,https://www.nextedition.co.kr/shops/NextEdition%20Gundae2
흐린날,"장르
드라마","추천 인원수
2~4",넥스트에디션 넥스트에디션 강남점,https://www.nextedition.co.kr/shops/NextEdition%20Gangnam
카르텔,"장르
?","추천 인원수
2~5",넥스트에디션 넥스트에디션 강남점,https://www.nextedition.co.kr/shops/NextEdition%20Gangnam
